ID	Name
DFM-1001	Review of all triage results that are relied on during the full digital forensic examination
DFM-1002	Testing of the faraday environment to be used
DFM-1003	Check image size corresponds with drive label
DFM-1004	Check hash of image matches hash of source device (DFT-1042)
DFM-1005	Testing to ensure software and hardware setup detects HPAs
DFM-1006	Testing to ensure software and hardware setup detects DCOs
DFM-1007	Use hardware write blocker (DFT-1012)
DFM-1008	Use software write blocker (DFT-1013)
DFM-1009	Check hash of image matches hash of source material
DFM-1010	Perform full extraction instead of selective
DFM-1011	Perform full extraction instead of selective, followed by partial processing
DFM-1012	Clear presentation of the backup and deletion process
DFM-1013	Consider memory acquisition and offline analysis instead
DFM-1014	Test and document changes made by the tools used
DFM-1015	Use tools only if changes made are to locations where relevant evidence is unlikely to be located.
DFM-1016	Alert user that the data collected is a partial set of data stored on the device
DFM-1017	Check for physical presence of SD card
DFM-1018	Check if presence of SD card is expected
DFM-1019	Consider if file system acquisition is possible/permitted (DFT-1020)
DFM-1020	Compare data extracted with full list of installed apps
DFM-1021	Verify the disk image integrity with multiple hash algorithms e.g. MD5 and SHA1 (Kessler 2016)
DFM-1022	Restrict access to stored disk images
DFM-1023	Ensure and check logs of access to stored disk images
DFM-1024	Validate extracted key against the encrypted material before powering off the machine from which the key was extracted (e.g. Hargreaves & Chivers 2008b)
DFM-1025	Validation & testing against the encryption system under consideration
DFM-1026	Testing of backup parsing method
DFM-1027	Dual tool verification
DFM-1028	Parse app lists if available and highlight missing data
DFM-1029	Testing of keyword indexing component of tool
DFM-1030	Testing of retrieval of indexed content
DFM-1031	Also using synonyms for terms used
DFM-1032	Evaluation of the effectiveness of wordlist used for case-type searching
DFM-1033	Prioritization of search results based on context
DFM-1034	Comparison of index results with live search results (DFT-1125)
DFM-1035	Verification against second tool with known different regex implementation
DFM-1036	Testing of regular expression component of tool
DFM-1037	The context of relevant keyword results are manually checked
DFM-1038	Word list selected such that a practically reviewable number of results are returned
DFM-1039	Hash matching to reduce need for manual review
DFM-1040	Use of AI to flag potentially relevant content to reduce need for manual review
DFM-1041	Regular breaks to minimise investigator fatigue
DFM-1042	Secondary review of flagged items to ensure relevance
DFM-1043	Scan for orphaned EPTs
DFM-1044	Scan for Volume Boot Records in unpartitioned space
DFM-1045	Explicitly detect sector size in use
DFM-1046	Check pointer offsets for both 512 and 4096 sectors sizes
DFM-1047	Testing partition table parsing on standard and non-standard configurations
DFM-1048	Check built-in integrity checks of partition tables where possible
DFM-1049	Check consistency between primary and backup partition tables (where possible)
DFM-1050	Manual verification of relevant data
DFM-1051	Validation of specific file system parsing operation for the file system under consideration
DFM-1052	Use of a second independent tool to compare live file system listing
DFM-1053	Verification of the file system specification used as the basis for the tool development
DFM-1054	Testing of message extraction and parsing features
DFM-1055	Correlation of data extracted with data from service provider
DFM-1056	Correlation of message data from third party data (another participant in message thread)
DFM-1057	Testing of parsing of syncronisation artefacts
DFM-1058	Checking for other confirmatory indicators of the inferred device's existence.
DFM-1059	Ongoing research and documentation of syncronisation artefacts
DFM-1060	Repair salvaged content by grafting different reference data onto fragment(s) (DFT-1099)
DFM-1061	Use digital stratigraphy to attempt to attribute data within a specific file system
DFM-1062	Verify semantic integrity of carved content using manual inspection of relevant data
DFM-1063	Verify semantic integrity of carved content using an automated tool
DFM-1064	Verify that salvaged content is renderable using visual inspection of displayed/rendered content 
