ID	Name
DFT-1001	Triage	
DFT-1002	Disk imaging	
DFT-1003	Memory imaging	
DFT-1004	Selective file acquisition	
DFT-1005	Conduct a search of a crime scene	
DFT-1006	Digital sniffer dogs	
DFT-1007	Use a SyncTriage-based approach to detect existence of devices	
DFT-1008	Profiling network traffic	
DFT-1009	Locate cloud account identifiers	
DFT-1010	Place device in faraday environment	
DFT-1011	Store seized devices in evidence bags	
DFT-1012	Connect storage medium via hardware write blocker	
DFT-1013	Use software write blockers to provide read only access to storage media	
DFT-1014	Chain of custody documentation	
DFT-1015	Privacy preserving selective extraction	
DFT-1016	Live data collection	
DFT-1017	Network packet capture	
DFT-1018	Remote data collection	
DFT-1019	Mobile backup extraction	
DFT-1020	Mobile file system extraction	
DFT-1021	Configuration file examination	
DFT-1022	Mobile device screenshot based capture	
DFT-1023	Cloud data collection to access data via a live web page using credentials	
DFT-1024	Cloud data collection via submission of request to service provider	
DFT-1025	Writing bitstream data to a forensic image format	
DFT-1026	Writing data to standard archive format	
DFT-1027	Data read using JTAG	
DFT-1028	Chip-off	
DFT-1029	Access data from a desoldered eMMC via a chip reader	
DFT-1030	Data read from unmanaged NAND	
DFT-1031	Key recovery from memory	
DFT-1032	Side channel	
DFT-1033	Extraction of credential from an accessible device	
DFT-1034	Brute force attack	
DFT-1035	Dictionary attack	
DFT-1036	Smudge attack	
DFT-1037	Obtain password from the device owner	
DFT-1038	Rainbow table-based password attack	
DFT-1039	App downgrade	
DFT-1040	Use mobile device exploit	
DFT-1041	Pin2Pwn	
DFT-1042	Hash verification of source device against stored data	
DFT-1043	Access forensic image content (bitstream)	
DFT-1044	Mobile backup decoding	
DFT-1045	Decode standard archive format	
DFT-1046	Privileged material protection	
DFT-1047	Hash matching (reduce)	
DFT-1048	Privacy protection via partial processing	
DFT-1049	Keyword searching	
DFT-1050	Hash matching (locate)	
DFT-1051	Fuzzy hash matching	
DFT-1052	Timeline generation	
DFT-1053	Entity extraction	
DFT-1054	Manual content review for relevant material	
DFT-1055	File system content inspection	
DFT-1056	Entity connection enumeration	
DFT-1057	Search for indicators of steganography	
DFT-1058	Search for mismatched file extensions	
DFT-1059	Identify partitions	
DFT-1060	Enumerate allocated files and folders	
DFT-1061	Recover non-allocated files	
DFT-1062	Decryption of encrypted file systems/volumes	
DFT-1063	Identify file types	
DFT-1064	File carving	
DFT-1065	Content indexer examination (OS)	
DFT-1066	Log file examination (OS)	
DFT-1067	Cloud synchronisation feature examination (OS)	
DFT-1068	Recently used file identification (OS)	
DFT-1069	Browser examination	
DFT-1070	Email examination	
DFT-1071	SQLite database examination	
DFT-1072	Chat app examination	
DFT-1073	Calendar app examination	
DFT-1074	Social network app examination	
DFT-1075	Maps/travel app examination	
DFT-1076	Log file examination	
DFT-1077	Photos app examination	
DFT-1078	Cloud sync app examination	
DFT-1079	Audio content analysis	
DFT-1080	Video content analysis	
DFT-1081	Image content analysis	
DFT-1082	Document content analysis	
DFT-1083	Memory examination (OS-level)	
DFT-1084	Extraction of user accounts	
DFT-1085	Identify conflation	
DFT-1086	Timeline analysis	
DFT-1087	Location-based event reconstruction	
DFT-1088	Relational-based event reconstruction	
DFT-1089	Source code review	
DFT-1090	Experimentation	
DFT-1091	Bookmark artifacts	
DFT-1092	Produce tag-based automated report	
DFT-1093	Write expert report	
DFT-1094	Disclosure	
DFT-1095	Instrumentation	
DFT-1096	Run programs identification (OS)	
DFT-1097	Installed programs identification (OS)	
DFT-1098	User account analysis (OS)	
DFT-1099	File repair with grafting	
DFT-1100	EXIF data extraction	
DFT-1101	Cell site survey	
