ID	Name	Description	Synonyms
DFT-1001	Triage	Digital forensic triage is a partial forensic examination conducted under (significant) time and resource constraints. (Roussev et al 2013).	[]
DFT-1002	Disk imaging	Copying of sectors from a storage media, typically LBA~0~ to LBA~max~ to a bitstream that can be stored in a image format (T1025). 	[]
DFT-1003	Memory imaging	Involves creating a copy of the live memory data of a running system	['RAM dump', 'RAM imaging', 'memory dump']
DFT-1004	Selective file acquisition	Views a set of files (typically via direct access from previewing) and acquires a subset of them.	['Logical imaging']
DFT-1005	Conduct a search of a crime scene	The process of 'carefully documenting the conditions at a crime scene and identifying all relevant physical evidence.' (Birzer 2018).	['Crime scene investigation', 'Crime scene examination', 'Crime scene processing', 'Incident scene examination', 'Scene search']
DFT-1006	Digital sniffer dogs	The use of canines to locate obscured digital storage devices.	['Digital Storage Device Dogs']
DFT-1007	Use a SyncTriage-based approach to detect existence of devices	A technique developed in Hargreaves & Marshall (2018) whereby synchronisation artefacts on a device are examined and used to identify the existence of a related device. Also sometimes used to infer activity that occurred on an inaccessible or unavailable device. 	[]
DFT-1008	Profiling network traffic		[]
DFT-1009	Locate cloud account identifiers		[]
DFT-1010	Place device in faraday environment	Place a device in an environment designed to shield a mobile phone or small digital device from radio waves entering the environment and reaching the device, and to stop radio waves escaping from the environment (adapted from Lennox-Steele & Nisbet (2016))	[]
DFT-1011	Store seized devices in evidence bags		[]
DFT-1012	Connect storage medium via hardware write blocker	A hardware write blocking device [should] prevent any change to data in the user area of a hard drive while allowing access to all data on a hard drive. (Lyle 2006)	[]
DFT-1013	Use software write blockers to provide read only access to storage media	Use of a software-based tool that prevents a computer from writing to computer storage media connected to it (NIST 2006)	[]
DFT-1014	Chain of custody documentation		[]
DFT-1015	Privacy preserving selective extraction	Previewing a data source and selecting a subset of the data for collection into a container such as a tar/zip file or a forensic image format for the purposes of protecting the privacy of the complainant or witness.	[]
DFT-1016	Live data collection	Running commands on a live system to collect specific pieces of information e.g. running processes or open ports	['Live response data collection', 'Volatile data collection']
DFT-1017	Network packet capture		[]
DFT-1018	Remote data collection		[]
DFT-1019	Mobile backup extraction	Using the backup capability of a device to extract a subset of its contents	[]
DFT-1020	Mobile file system extraction	Accessing the file system(s) of the device and extracting a set of files (full or partial depending on level of access)	[]
DFT-1021	Configuration file examination	Examination of a file that was designed for storing configuration information for a piece of software (e.g. an application or operating system feature)	[]
DFT-1022	Mobile device screenshot based capture	An examiner directly manipulates the target mobile device using the device's input interface (i.e., keypads and buttons), and records the content shown on the display of the device. (Fukami et al 2021)	[]
DFT-1023	Cloud data collection to access data via a live web page using credentials		[]
DFT-1024	Cloud data collection via submission of request to service provider		[]
DFT-1025	Writing bitstream data to a forensic image format	Storage of bitstream data recovered from a digital device	['Disk image container', 'image file']
DFT-1026	Writing data to standard archive format	Storing acquired data in a standard archive format such as rar, tar or zip	[]
DFT-1027	Data read using JTAG		[]
DFT-1028	Chip-off		[]
DFT-1029	Access data from a desoldered eMMC via a chip reader		[]
DFT-1030	Data read from unmanaged NAND		[]
DFT-1031	Key recovery from memory	This describes the technique whereby an attempt is made to extract key material from memory, or a memory acquisition of a running system to fascinate the decryption of some data 	[]
DFT-1032	Side channel		[]
DFT-1033	Extraction of credential from an accessible device	Accessing a device with limited or no security to obtain a credential (e.g. password, PIN, token) that can be used to access another device or service.	[]
DFT-1034	Brute force attack	A brute force attack, or exhaustive search is a password cracking approach where every combination of characters is tested until the correct one is found. This method is "guaranteed to work" given infinite time and resources which in a real-life scenario is not feasible.	['exhaustive password search']
DFT-1035	Dictionary attack	A dictionary attack is a password cracking technique where an attacker uses a list of passwords, called a dictionary, to attempt to guess a password.	[]
DFT-1036	Smudge attack		[]
DFT-1037	Obtain password from the device owner		[]
DFT-1038	Rainbow table-based password attack		[]
DFT-1039	App downgrade	Downgrading an app to a version in which data is available e.g. via a backup method	[]
DFT-1040	Use mobile device exploit	A process that typically exploits a security flaw in a specific device or operating system to enable users to perform higher privileged functions on a device (derived from Grover 2013)	[]
DFT-1041	Pin2Pwn		[]
DFT-1042	Hash verification of source device against stored data	Computing the hash function of the entire contents of a disk, recording it, and then subsequently computing the hash over any disk image created to detect if any content is different (adapted from Lyle 2002)	[]
