ID	Name
DFW-1001	Excluding a device that contains relevant information
DFW-1002	Use of triage technology results in changes to the target media
DFW-1003	Triage tool applies a simplification that does not correctly represent the meaning of the digital data
DFW-1004	Data copied does not include all sectors from LBA0 to LBA max due to the data copying process stopping prematurely
DFW-1005	Dogs fail to find a digital device
DFW-1006	Acquisition tool does not copy data from HPA
DFW-1007	Acquisition tool does not copy data from DCO
DFW-1008	Missing the existence of a device by missing synchronisation artefacts
DFW-1009	Missing the existence of a device by incorrectly parsing synchronisation artefacts
DFW-1010	Misattributing activity to the wrong device
DFW-1011	Suggesting the existence of a device that does not exist
DFW-1012	Interaction with the target devices to read data causes changes
DFW-1013	During acquisition the data copying process results in extra bytes
DFW-1014	Accessing the drive to copy data changes original data
DFW-1015	Powering on SSD results in sectors being wiped by TRIM operation
DFW-1016	Data copied from sectors on source device are not transferred correctly for storage
DFW-1017	Files or data that is relevant to the investigation is missed
DFW-1018	Data is collected that is not relevant to the investigation
DFW-1019	Data is collected and assigned to incorrect device
DFW-1020	Content of data collected is incorrect
DFW-1021	Metadata of data collected is missing
DFW-1022	Metadata of data collected is incorrect
DFW-1023	Collection process changes content of data on target
DFW-1024	Collection process changes metadata of data on target
DFW-1025	Data relevant to the case is excluded as part of the filtering process
DFW-1026	Selective extraction of a backup implies partial collection when it is in reality a full collection followed by deletion.
DFW-1027	Including data that was meant to be excluded with the selected filters
DFW-1028	Due to the use of time based filters data extracted may be presented out of context
DFW-1029	Memory smearing may result in pointers being inconsistent within the memory image
DFW-1030	Loading a memory imaging tool makes changes to the data in memory that is being acquired
DFW-1031	Loading a memory imaging tool overwrites relevant data within memory
DFW-1032	Not all memory is acquired
DFW-1033	Data referenced in memory is located within pagefile or swapfile but is not collected
DFW-1034	Missing data from the live system due to compromised machine (e.g. rootkit)
DFW-1035	Collecting incorrect information from live system due to compromised machine (e.g. rootkit)
DFW-1036	Overwriting relevant data with changes caused by running the live tools
DFW-1037	Presenting data as complete, that is in reality a partial set
DFW-1038	Backup process returns an incomplete set of backup data
DFW-1039	Backup data collection overwrites important data
DFW-1040	Not considering SD Card acquisition in addition to other extractions performed
DFW-1041	Not considering file system acquisition as alternative
DFW-1042	Disk image was tampered with, but manipulated to have a collision with original hash
DFW-1043	Data is written to forensic format that does not preserve the original raw data
DFW-1044	Failing to extract a decryption key that is present
DFW-1045	Extracting an incorrect decryption key
DFW-1046	File not recovered from the stored backup
DFW-1047	File recovered from backup that did not exist
DFW-1048	File recovered from backup but presented in the wrong location
DFW-1049	File content recovered incorrectly from backup
DFW-1050	Failure to highlight that there are other apps present for which data is not available
DFW-1051	Failure to highlight that not all app data may be present in a backup
