ID	Name	INCOMP	INAC-EX	INAC-AS	INAC-ALT	INAC-COR	MISINT
DFW-1001	Excluding a device that contains relevant information	x					
DFW-1002	Use of triage technology results in changes to the target media				x		
DFW-1003	Triage tool applies a simplification that does not correctly represent the meaning of the digital data		x	x			x
DFW-1004	Data copied does not include all sectors from LBA0 to LBA max due to the data copying process stopping prematurely	x					
DFW-1005	Dogs fail to find a digital device	x					
DFW-1006	Acquisition tool does not copy data from HPA	x					
DFW-1007	Acquisition tool does not copy data from DCO	x					
DFW-1008	Missing the existence of a device by missing synchronisation artefacts	x					
DFW-1009	Missing the existence of a device by incorrectly parsing synchronisation artefacts	x					
DFW-1010	Misattributing activity to the wrong device			x			
DFW-1011	Suggesting the existence of a device that does not exist		x				
DFW-1012	Interaction with the target devices to read data causes changes				x		
DFW-1013	During acquisition the data copying process results in extra bytes		x				
DFW-1014	Accessing the drive to copy data changes original data				x		
DFW-1015	Powering on SSD results in sectors being wiped by TRIM operation	x			x	x	
DFW-1016	Data copied from sectors on source device are not transferred correctly for storage		x			x	
DFW-1017	Files or data that is relevant to the investigation is missed	x					
DFW-1018	Data is collected that is not relevant to the investigation			x			
DFW-1019	Data is collected and assigned to incorrect device			x			
DFW-1020	Content of data collected is incorrect				x		
DFW-1021	Metadata of data collected is missing	x					
DFW-1022	Metadata of data collected is incorrect				x		
DFW-1023	Collection process changes content of data on target				x	x	
DFW-1024	Collection process changes metadata of data on target				x	x	
DFW-1025	Data relevant to the case is excluded as part of the filtering process	x					
DFW-1026	Selective extraction of a backup implies partial collection when it is in reality a full collection followed by deletion.						x
DFW-1027	Including data that was meant to be excluded with the selected filters			x			
DFW-1028	Due to the use of time based filters data extracted may be presented out of context			x			
DFW-1029	Memory smearing may result in pointers being inconsistent within the memory image			x		x	
DFW-1030	Loading a memory imaging tool makes changes to the data in memory that is being acquired				x		
DFW-1031	Loading a memory imaging tool overwrites relevant data within memory	x					
DFW-1032	Not all memory is acquired	x					
DFW-1033	Data referenced in memory is located within pagefile or swapfile but is not collected	x					
DFW-1034	Missing data from the live system due to compromised machine (e.g. rootkit)	x					
DFW-1035	Collecting incorrect information from live system due to compromised machine (e.g. rootkit)	x	x	x		x	
DFW-1036	Overwriting relevant data with changes caused by running the live tools	x			x		
DFW-1037	Presenting data as complete, that is in reality a partial set						x
DFW-1038	Backup process returns an incomplete set of backup data	x					
DFW-1039	Backup data collection overwrites important data	x			x		
DFW-1040	Not considering SD Card acquisition in addition to other extractions performed	x					
DFW-1041	Not considering file system acquisition as alternative	x					
DFW-1042	Disk image was tampered with, but manipulated to have a collision with original hash					x	
DFW-1043	Data is written to forensic format that does not preserve the original raw data				X		
DFW-1044	Failing to extract a decryption key that is present	X					
DFW-1045	Extracting an incorrect decryption key		X				
DFW-1046	File not recovered from the stored backup	X					
DFW-1047	File recovered from backup that did not exist		X				
DFW-1048	File recovered from backup but presented in the wrong location			X			
DFW-1049	File content recovered incorrectly from backup				X		
DFW-1050	Failure to highlight that there are other apps present for which data is not available						X
DFW-1051	Failure to highlight that not all app data may be present in a backup						X
DFW-1052	Incorrect retrieval of results from an index	X	X				
DFW-1053	Incorrect parsing of a supplied regular expression used for keyword searching	X	X	X			
DFW-1054	Data not indexed for keyword searching due to text encoding	X					
DFW-1055	Data not indexed for keyword searching due to missing substring feature	X					
DFW-1056	Data not indexed for keyword searching due to case sensitivity problem	X					
DFW-1057	Relevant keyword results not captured by the case-type keyword list used	X					
DFW-1058	Results appear in an ‘artefact’ or ‘result’ but the context, source or provenance of result is unclear						X
DFW-1059	Excessive keyword results returned from case-type wordlists such that careful review of all results is impractical	X					
DFW-1060	A relevant piece of media was not flagged as relevant	X		X			
